Title,Year,Score,Description,Director,Screenplay,Type,Revenue
Venom: The Last Dance,2024,67,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",Kelly Marcel,Kelly Marcel,"Science Fiction, Action, Adventure","175,000,000.00"
The Wild Robot,2024,86,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",Chris Sanders,Chris Sanders,"Animation, Science Fiction, Family","232,785,520.00"
Terrifier 3,2024,74,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",Damien Leone,,"Horror, Thriller","46,694,902.00"
Transformers One,2024,81,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",Josh Cooley,"Andrew Barrer, Gabriel Ferrari, Eric Pearson","Animation, Science Fiction, Adventure, Family, Action","124,530,164.00"
The Substance,2024,73,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",Coralie Fargeat,,"Drama, Horror, Thriller","38,578,699.00"
Joker: Folie à Deux,2024,57,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.",Todd Phillips,,"Drama, Crime, Thriller","200,714,058.00"
Alien: Romulus,2024,73,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",Fede Álvarez,,"Science Fiction, Horror","350,752,564.00"
Venom,2018,68,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",Ruben Fleischer,"Kelly Marcel, Jeff Pinkner, Scott Rosenberg","Science Fiction, Action","856,085,151.00"
Deadpool & Wolverine,2024,77,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",Shawn Levy,,"Action, Comedy, Science Fiction","1,336,816,112.00"
Survive,2024,48,A couple celebrates their son’s birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.,Frédéric Jardin,Matt Alexander,"Thriller, Adventure, Action, Science Fiction",
Venom: Let There Be Carnage,2021,68,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",Andy Serkis,Kelly Marcel,"Science Fiction, Action, Adventure","506,863,592.00"
