ID,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
2945,1,1,4,12,1,1,1,4,3,3,4,1,0,0,1,0,0,18,0,0,7,7,7,11.714285714285714,0,0,8,8,8,12.75,0,12.4,0.5,1.79,Graduate
1743,1,1,1,8,1,1,1,3,14,3,10,1,0,0,1,1,0,18,0,0,6,8,6,13.714285714285714,0,0,6,7,5,13.333333333333334,0,15.5,2.8,-4.06,Dropout
4151,1,1,1,15,1,1,1,19,18,1,7,1,0,0,1,0,0,18,0,0,6,6,6,15.166666666666666,0,0,6,7,6,14.857142857142858,0,7.6,2.6,0.32,Graduate
460,1,8,1,15,1,1,1,22,27,6,8,0,0,0,1,0,1,18,0,0,6,7,6,12.5,0,0,6,8,6,13.333333333333334,0,16.2,0.3,-0.92,Graduate
2214,1,1,1,10,1,1,1,13,28,10,10,0,0,0,1,1,0,19,0,0,6,10,5,11.571428571428571,0,0,6,10,3,13,0,16.2,0.3,-0.92,Dropout
665,1,8,3,12,1,1,1,3,3,10,8,1,0,0,1,1,0,19,0,0,7,8,7,13.3625,0,0,8,9,8,14.444444444444445,0,13.9,-0.3,0.79,Graduate
882,1,1,1,2,1,1,1,3,2,3,6,1,0,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,-0.8,-3.12,Graduate
1146,1,1,2,3,0,1,1,13,9,1,1,1,0,0,1,0,0,22,0,0,6,7,5,13.4,0,0,6,9,5,12.2,0,7.6,2.6,0.32,Graduate
799,1,1,1,8,1,1,1,1,27,10,10,1,0,0,1,0,1,19,0,0,6,8,6,13.333333333333334,0,0,6,7,6,13.666666666666666,0,8.9,1.4,3.51,Graduate
1638,1,1,1,12,1,1,1,1,1,5,5,0,0,0,1,1,1,21,0,0,7,9,6,13.342857142857143,0,0,8,10,7,11.65,0,12.4,0.5,1.79,Graduate
3188,1,1,1,12,1,1,1,13,14,5,6,1,0,0,1,1,0,19,0,0,7,9,0,0,0,0,7,8,0,0,0,15.5,2.8,-4.06,Dropout
3894,4,12,1,6,1,1,1,22,27,12,12,0,0,0,0,0,0,35,0,0,5,14,1,12,2,0,5,11,2,10.5,1,9.4,-0.8,-3.12,Dropout
1254,1,1,1,10,1,1,1,23,28,8,9,1,0,0,1,0,0,19,0,0,6,11,4,12.75,0,0,6,7,6,11.333333333333334,0,7.6,2.6,0.32,Graduate
271,1,15,1,4,1,14,1,22,28,5,9,0,0,0,1,0,1,21,0,0,6,9,6,12.666666666666666,0,0,6,8,5,12.8,0,13.9,-0.3,0.79,Graduate
2787,1,12,1,15,1,7,1,23,1,6,5,1,0,0,1,1,0,28,0,0,6,11,3,13,0,0,6,15,1,12,0,7.6,2.6,0.32,Dropout
1056,1,1,1,12,1,1,1,13,14,6,8,0,0,0,1,0,1,19,0,0,7,7,7,13.7,0,0,8,9,7,14.671428571428574,0,12.4,0.5,1.79,Graduate
3641,1,1,3,15,1,1,1,13,28,5,5,1,0,0,1,0,1,20,0,0,6,6,6,13.5,0,0,6,7,6,12.666666666666666,0,11.1,0.6,2.02,Graduate
594,1,8,1,14,1,1,1,1,14,5,9,1,0,0,1,0,0,20,0,0,6,8,5,13.4,0,0,6,10,4,13,0,12.7,3.7,-1.7,Enrolled
511,1,1,2,5,1,1,1,4,1,3,4,1,0,0,1,0,0,18,0,0,6,8,4,10.75,0,0,6,9,0,0,0,9.4,-0.8,-3.12,Enrolled
602,1,8,5,5,1,1,1,13,28,6,8,0,0,1,0,0,0,21,0,0,6,6,4,13,0,0,6,8,4,11.6,0,10.8,1.4,1.74,Dropout
966,1,15,1,4,1,14,1,4,1,3,9,0,0,0,1,1,0,21,0,0,6,9,5,13.4,0,0,6,9,5,12.4,0,8.9,1.4,3.51,Graduate
1690,1,14,4,2,1,1,1,22,27,10,10,1,0,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,Dropout
2773,1,1,1,12,1,1,1,13,27,4,9,1,0,0,1,1,0,19,0,0,8,10,5,12.858,3,0,8,10,5,12.858,3,9.4,-0.8,-3.12,Enrolled
158,1,8,2,10,1,1,1,1,27,8,10,1,0,0,1,0,1,18,0,0,6,8,6,12.25,0,0,6,7,6,11.857142857142858,0,12.7,3.7,-1.7,Graduate
808,1,1,1,8,1,1,1,3,3,3,11,0,0,1,0,0,0,23,0,0,6,10,6,14,0,0,6,11,4,13,0,11.1,0.6,2.02,Enrolled
2382,1,1,3,5,1,1,1,13,28,6,8,1,0,0,1,1,1,19,0,0,6,6,6,15.166666666666666,0,0,6,6,6,12.333333333333334,0,12.4,0.5,1.79,Graduate
947,1,1,1,9,1,1,1,3,14,4,4,0,0,1,1,1,0,19,0,0,5,7,5,13.6,0,0,5,11,5,12.833333333333334,5,16.2,0.3,-0.92,Graduate
4294,1,1,6,11,1,1,1,13,14,10,10,1,0,0,1,1,0,20,0,0,6,16,3,10.333333333333334,0,0,6,16,1,11,0,10.8,1.4,1.74,Dropout
753,1,13,1,12,1,1,1,22,27,4,4,1,0,0,1,0,1,21,0,0,8,8,8,13.105,0,0,8,8,8,13.105,0,9.4,-0.8,-3.12,Graduate
94,2,12,1,16,1,8,1,22,24,1,1,0,0,0,1,0,0,39,0,0,6,12,3,12.666666666666666,0,0,6,14,0,0,1,7.6,2.6,0.32,Dropout
648,2,12,1,17,0,3,1,13,14,10,8,0,0,0,1,0,0,26,0,0,5,5,5,12,0,0,5,6,5,14.833333333333334,0,10.8,1.4,1.74,Graduate
2835,1,12,1,6,1,1,1,13,14,8,8,1,0,0,1,0,0,24,0,0,6,7,6,14.857142857142858,0,0,6,10,5,13.6,0,13.9,-0.3,0.79,Graduate
4120,1,8,1,16,1,1,1,1,28,5,11,1,0,0,1,0,0,18,0,0,6,10,4,13,0,0,6,9,5,13.666666666666666,0,9.4,-0.8,-3.12,Graduate
3637,1,1,1,15,1,1,1,3,14,3,4,1,0,0,1,0,0,19,0,0,6,6,6,13,0,0,6,7,6,11.666666666666666,0,8.9,1.4,3.51,Graduate
700,1,14,1,7,1,1,1,22,28,6,8,0,0,0,1,1,0,39,0,0,5,10,3,17.333333333333332,0,0,5,11,1,17,0,13.9,-0.3,0.79,Dropout
43,1,1,6,12,1,1,1,1,3,3,3,1,1,0,1,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate
3165,1,1,1,6,1,1,1,13,27,10,10,1,0,0,1,0,0,19,0,0,5,9,5,13.6,1,0,5,5,5,12.4,0,12.7,3.7,-1.7,Graduate
3248,1,8,5,6,1,1,1,1,28,5,8,1,0,0,1,0,1,20,0,0,6,7,6,15.428571428571429,0,0,6,7,6,13.5,0,13.9,-0.3,0.79,Graduate
1558,1,8,1,9,1,1,1,1,28,7,7,1,0,1,1,1,0,18,0,0,5,9,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Enrolled
3747,1,1,1,12,1,1,1,1,1,5,5,1,0,0,1,0,1,19,0,0,8,8,8,12.82875,0,0,8,8,8,12.82875,0,9.4,-0.8,-3.12,Graduate
220,1,8,1,6,1,1,1,13,27,2,4,0,0,0,1,0,0,21,0,0,5,10,0,0,1,0,5,9,2,13.5,0,7.6,2.6,0.32,Dropout
4209,1,1,1,2,1,1,1,1,28,5,10,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,Dropout
1174,1,12,1,17,0,1,1,1,1,5,11,0,0,0,1,1,0,24,0,0,5,5,4,12,0,0,5,6,5,12.666666666666666,0,12.4,0.5,1.79,Enrolled
2501,1,15,1,6,1,14,3,5,4,2,2,0,0,0,1,0,0,20,1,2,6,7,6,13.333333333333334,0,1,6,16,5,13.375,0,12.4,0.5,1.79,Graduate
3650,5,12,1,16,1,12,1,22,27,10,9,0,0,0,1,0,0,27,0,0,7,14,6,11.666666666666666,0,0,7,10,1,10,0,12.4,0.5,1.79,Dropout
1302,1,1,5,11,1,1,1,3,14,4,10,1,0,0,0,1,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,8.9,1.4,3.51,Dropout
1452,1,1,1,4,1,1,1,13,27,10,10,1,0,0,1,1,0,19,0,8,12,17,11,12,2,4,12,21,12,12.307692307692308,0,15.5,2.8,-4.06,Graduate
1284,1,1,1,7,1,1,1,13,14,5,5,0,0,0,1,1,1,18,0,0,5,6,5,17.333333333333332,0,0,5,8,5,18.571428571428573,0,12.4,0.5,1.79,Graduate
345,1,13,1,9,1,1,1,22,28,10,2,1,0,0,1,0,0,26,0,3,5,5,4,13,0,1,5,7,2,12,0,9.4,-0.8,-3.12,Enrolled
446,1,1,1,10,1,1,1,22,14,10,4,1,0,0,1,0,1,19,0,0,6,6,6,13,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
1842,1,8,1,8,1,1,1,13,14,4,11,1,0,0,1,1,0,19,0,0,5,11,2,10.5,2,0,5,9,0,0,3,10.8,1.4,1.74,Dropout
767,1,15,1,8,1,14,1,1,1,5,5,1,0,0,1,0,0,20,0,0,5,7,4,12,1,0,5,6,4,12.4,0,10.8,1.4,1.74,Enrolled
98,1,1,5,12,1,1,1,22,27,8,8,1,0,0,1,0,1,18,0,0,7,7,7,13.75,0,0,8,9,8,14.47777777777778,0,12.4,0.5,1.79,Graduate
3396,1,17,1,6,1,16,1,13,27,5,10,1,0,0,1,0,0,20,0,7,11,15,11,13.785714285714286,0,4,9,9,9,13.88888888888889,0,8.9,1.4,3.51,Graduate
402,1,8,1,11,1,1,1,22,27,8,8,1,0,0,1,0,0,20,0,0,6,13,3,10.333333333333334,0,0,6,12,3,10.333333333333334,0,10.8,1.4,1.74,Enrolled
2962,1,1,1,12,1,1,1,13,27,10,10,1,0,0,1,0,0,18,0,0,8,8,7,14.13714285714286,0,0,8,8,7,14.13714285714286,0,10.8,1.4,1.74,Graduate
606,1,1,3,2,1,1,1,7,1,7,7,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,-0.8,-3.12,Dropout
982,2,12,1,17,0,1,1,13,14,5,5,0,0,0,1,1,1,41,0,0,5,9,4,11,0,0,5,6,5,11.4,0,8.9,1.4,3.51,Enrolled
3869,1,15,1,4,1,14,1,1,14,4,11,1,0,0,1,1,0,19,0,0,6,9,6,12.166666666666666,0,0,6,14,4,13,0,12.4,0.5,1.79,Graduate
387,1,1,1,16,1,1,1,22,27,10,10,0,0,0,1,0,0,18,0,0,6,6,6,13.666666666666666,0,0,6,9,6,12.333333333333334,0,7.6,2.6,0.32,Graduate
3191,1,12,1,4,1,1,1,13,14,10,6,0,0,0,0,1,0,29,0,0,6,9,0,0,0,0,6,6,0,0,0,13.9,-0.3,0.79,Dropout
2040,1,1,4,10,1,1,1,23,14,8,8,1,0,0,1,0,1,18,0,0,6,6,6,12.5,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate
3888,1,1,1,10,1,1,1,13,28,10,10,0,1,0,1,0,1,19,0,0,6,12,4,10.4,0,0,6,11,4,10.75,0,12.4,0.5,1.79,Enrolled
1920,1,14,1,14,1,1,1,13,14,2,2,0,0,1,1,0,0,20,0,0,6,12,5,12.2,0,0,6,8,5,14.6,0,13.9,-0.3,0.79,Enrolled
1831,1,1,1,16,1,1,1,22,14,10,9,0,0,1,1,0,0,18,0,0,6,10,5,13,0,0,6,10,4,11.5,0,12.7,3.7,-1.7,Dropout
2080,1,1,5,12,1,1,1,23,28,8,8,1,0,0,1,0,1,19,0,0,7,7,6,14.15,0,0,7,7,6,14.15,0,7.6,2.6,0.32,Graduate
3944,5,12,1,9,1,1,1,1,1,5,9,0,0,1,0,0,0,24,0,0,5,0,0,0,0,0,5,0,0,0,0,13.9,-0.3,0.79,Dropout
3292,1,12,1,4,1,1,1,22,27,10,8,1,0,0,0,1,0,35,0,0,6,17,1,13,0,0,6,8,0,0,0,15.5,2.8,-4.06,Dropout
